Date,County,Rt_EpiNow
5/31/2021,Abbeville,0.799215073
6/1/2021,Abbeville,0.796035795
6/2/2021,Abbeville,0.792983263
6/3/2021,Abbeville,0.792172121
6/4/2021,Abbeville,0.793011034
6/5/2021,Abbeville,0.796005291
6/6/2021,Abbeville,0.794211854
6/7/2021,Abbeville,0.790149042
6/8/2021,Abbeville,0.784127911
6/9/2021,Abbeville,0.776874142
6/10/2021,Abbeville,0.770462601
6/11/2021,Abbeville,0.767411613
6/12/2021,Abbeville,0.769782777
6/13/2021,Abbeville,0.774679542
6/14/2021,Abbeville,0.78467508
6/15/2021,Abbeville,0.796609955
6/16/2021,Abbeville,0.813374555
6/17/2021,Abbeville,0.837683742
6/18/2021,Abbeville,0.865903783
6/19/2021,Abbeville,0.897206056
6/20/2021,Abbeville,0.932365179
6/21/2021,Abbeville,0.970397285
6/22/2021,Abbeville,1.012547986
6/23/2021,Abbeville,1.056164989
6/24/2021,Abbeville,1.098713558
6/25/2021,Abbeville,1.142389993
6/26/2021,Abbeville,1.184637377
6/27/2021,Abbeville,1.223550924
6/28/2021,Abbeville,1.257783727
6/29/2021,Abbeville,1.291767623
6/30/2021,Abbeville,1.320373212
7/1/2021,Abbeville,1.352581311
7/2/2021,Abbeville,1.3836181
7/3/2021,Abbeville,1.414395352
7/4/2021,Abbeville,1.443591258
7/5/2021,Abbeville,1.471221664
7/6/2021,Abbeville,1.505605739
7/7/2021,Abbeville,1.534633604
7/8/2021,Abbeville,2.151112103
7/9/2021,Abbeville,2.247482186
7/10/2021,Abbeville,2.329599664
7/11/2021,Abbeville,2.371310973
7/12/2021,Abbeville,2.382831902
7/13/2021,Abbeville,2.362232699
7/14/2021,Abbeville,2.319587067
7/15/2021,Abbeville,2.252277885
7/16/2021,Abbeville,2.16567654
7/17/2021,Abbeville,1.517413462
7/18/2021,Abbeville,1.500868631
7/19/2021,Abbeville,1.484657525
7/20/2021,Abbeville,1.470519093
7/21/2021,Abbeville,1.456599745
7/22/2021,Abbeville,1.442770475
7/23/2021,Abbeville,1.428893985
7/24/2021,Abbeville,1.414687979
7/25/2021,Abbeville,1.393529992
7/26/2021,Abbeville,1.368725675
7/27/2021,Abbeville,1.341921351
7/28/2021,Abbeville,1.314579313
7/29/2021,Abbeville,1.287658411
7/30/2021,Abbeville,1.260778573
7/31/2021,Abbeville,1.237861664
8/1/2021,Abbeville,1.217582777
8/2/2021,Abbeville,1.202494362
8/3/2021,Abbeville,1.19111864
8/4/2021,Abbeville,1.181275011
8/5/2021,Abbeville,1.174137079
8/6/2021,Abbeville,1.170596962
8/7/2021,Abbeville,1.169595883
8/8/2021,Abbeville,1.169947075
8/9/2021,Abbeville,1.169553647
8/10/2021,Abbeville,1.172281847
8/11/2021,Abbeville,1.244675582
8/12/2021,Abbeville,1.2563715
8/13/2021,Abbeville,1.26216091
8/14/2021,Abbeville,1.262790698
8/15/2021,Abbeville,1.172926143
8/16/2021,Abbeville,1.17448167
8/17/2021,Abbeville,1.178079086
8/18/2021,Abbeville,1.181961902
8/19/2021,Abbeville,1.185551078
8/20/2021,Abbeville,1.185701893
8/21/2021,Abbeville,1.181174115
8/22/2021,Abbeville,1.173193148
8/23/2021,Abbeville,1.159696248
8/24/2021,Abbeville,1.139419463
8/25/2021,Abbeville,1.114347481
8/26/2021,Abbeville,1.086831044
8/27/2021,Abbeville,1.056020833
8/28/2021,Abbeville,1.024945433
8/29/2021,Abbeville,0.998435439
8/30/2021,Abbeville,0.976848278
8/31/2021,Abbeville,0.96085486
9/1/2021,Abbeville,0.950915117
9/2/2021,Abbeville,0.947060367
9/3/2021,Abbeville,0.951311462
9/4/2021,Abbeville,0.961632348
9/5/2021,Abbeville,0.97527402
9/6/2021,Abbeville,0.989201853
9/7/2021,Abbeville,1.002210594
9/8/2021,Abbeville,1.010277758
9/9/2021,Abbeville,1.012213608
9/10/2021,Abbeville,1.00690225
9/11/2021,Abbeville,0.994209863
9/12/2021,Abbeville,0.974415979
9/13/2021,Abbeville,0.951264721
9/14/2021,Abbeville,0.924750081
9/15/2021,Abbeville,0.900365862
9/16/2021,Abbeville,0.879055367
9/17/2021,Abbeville,0.861812557
9/18/2021,Abbeville,0.849194591
9/19/2021,Abbeville,0.84508912
9/20/2021,Abbeville,0.845737141
9/21/2021,Abbeville,0.850293455
9/22/2021,Abbeville,0.85874981
9/23/2021,Abbeville,0.866898945
9/24/2021,Abbeville,0.875776194
9/25/2021,Abbeville,0.8822538
9/26/2021,Abbeville,0.885622276
9/27/2021,Abbeville,0.885658604
9/28/2021,Abbeville,0.88091226
9/29/2021,Abbeville,0.872928792
9/30/2021,Abbeville,0.862866128
10/1/2021,Abbeville,0.851186394
10/2/2021,Abbeville,0.840973278
10/3/2021,Abbeville,0.833494329
10/4/2021,Abbeville,0.829175192
10/5/2021,Abbeville,0.826080324
10/6/2021,Abbeville,0.825201738
10/7/2021,Abbeville,0.82825839
10/8/2021,Abbeville,0.831819189
10/9/2021,Abbeville,0.835347618
10/10/2021,Abbeville,0.837844006
10/11/2021,Abbeville,0.839403842
10/12/2021,Abbeville,0.838940936
